garment_name,price,url
Disney Dumbo 1.5 Tog Baby Sleeping Bag (Newborn-18mths),£12.00,https://www.matalan.co.uk/product/detail/s2834962_c438/disney-dumbo-1-5-tog-baby-sleeping-bag-newborn-18mths-cream
Girls Panda Frill Short Sleeve T-Shirt (Newborn-23mths),£2.50,https://www.matalan.co.uk/product/detail/s2835289_c359/girls-panda-frill-short-sleeve-t-shirt-newborn-23mths-white
Elephant Hooded Towel & Wash Mitt Set (80cm x 80cm / 13cm x 22cm),£6.00,https://www.matalan.co.uk/product/detail/s2811419_c359/elephant-hooded-towel-wash-mitt-set-blue
Girls 3 Pack Frill Socks (Newborn-12mths),£3.00,https://www.matalan.co.uk/product/detail/s2822069_c404/girls-3-pack-frill-socks-newborn-12mths-multi
Elephant Comforter (One Size),£4.00,https://www.matalan.co.uk/product/detail/s2813768_c128/elephant-comforter-one-size-blue
Unisex 5 Pack Nautical Print Bodysuits (Tiny Baby-23mths),£6.50,https://www.matalan.co.uk/product/detail/s2807478_c333/unisex-5-pack-nautical-print-bodysuits-tiny-baby-23mths-red
3 Pack Disney Dumbo Muslin Cloths (71cm x 71cm),£5.00,https://www.matalan.co.uk/product/detail/s2834749_c438/3-pack-disney-dumbo-muslin-cloths-71cm-x-71cm-cream
Unisex Velour Baby Grow (Newborn-18mths),£7.00,https://www.matalan.co.uk/product/detail/s2812322_c228/unisex-velour-baby-grow-newborn-12mths-grey
Girls Broderie Trim Romper (Newborn-23mths),£2.50,https://www.matalan.co.uk/product/detail/s2826041_c323/girls-broderie-trim-romper-newborn-23mths-pink
Girls Pink Bow Dress & Knickers (Newborn-23mths),£5.00,https://www.matalan.co.uk/product/detail/s2827602_c323/girls-pink-bow-dress-knickers-newborn-23mths-pink
Girls Frill Embroidered Dress (Tiny Baby-23mths),£4.00,https://www.matalan.co.uk/product/detail/s2821301_c359/girls-frill-embroidered-dress-tiny-baby-23mths-white
Unisex Organic Cotton Knitted Dungarees & T-Shirt Set (Newborn-23mths),£12.50,https://www.matalan.co.uk/product/detail/s2802860_c523/unisex-organic-cotton-knitted-dungarees-t-shirt-set-newborn-23mths-beige
Boys 5 Pack Joggers (Newborn-23mths),£10.00,https://www.matalan.co.uk/product/detail/s2840781_c128/boys-5-pack-joggers-newborn-23mths-blue
Girls Embroidered Crinkle Romper (Newborn-23mths),£5.00,https://www.matalan.co.uk/product/detail/s2821304_c356/girls-embroidered-crinkle-romper-newborn-23mths-ivory
Boys 3 Pack Jungle Print T-Shirts (Newborn-23mths),£8.00,https://www.matalan.co.uk/product/detail/s2835310_c47q/boys-3-pack-jungle-print-t-shirts-newborn-23mths-multi
